YEAR	CPI	IA_GDP	RBP	POP	PROM_EXP	PP_BB_COM	N_RAS	N_STRA
1970	0.164	4779.66	145.4	204.0	35.0	6.9	22.4	21.5
1971	0.171	4937.16	151.3	206.8	30.0	7.1	23.9	22.5
1972	0.176	5196.99	191.1	209.3	31.8	5.6	31.4	24.0
1973	0.187	5490.33	185.5	211.4	33.2	7.4	43.2	27.6
1974	0.208	5461.89	164.9	213.3	46.1	7.3	37.2	28.8
1975	0.227	5451.16	144.1	215.5	40.5	6.8	24.9	30.6
1976	0.240	5744.70	175.9	217.6	42.9	6.4	29.6	32.9
1977	0.256	6009.49	216.5	219.8	37.5	5.1	44.6	33.2
1978	0.275	6343.72	251.8	222.1	44.5	5.1	70.4	31.7
1979	0.307	6545.15	177.0	224.6	50.0	6.8	69.5	38.7
1980	0.348	6529.16	148.8	227.2	59.0	6.6	37.3	41.2
1981	0.384	6698.50	154.1	229.5	64.9	6.9	52.0	42.0
1982	0.407	6570.56	165.7	231.7	72.3	7.0	67.3	48.1
1983	0.420	6874.93	180.7	233.8	102.0	7.9	43.0	45.6
1984	0.439	7373.95	118.5	235.8	243.1	8.6	49.2	41.7
1985	0.454	7686.52	134.3	237.9	189.5	9.5	56.1	44.3
1986	0.463	7956.48	144.1	240.1	261.5	9.5	75.8	49.4
1987	0.480	8231.90	148.0	242.3	192.1	9.3	52.6	49.4
1988	0.499	8577.97	192.2	244.5	194.9	9.9	53.5	46.2
1989	0.524	8893.68	136.8	246.8	239.7	10.2	56.1	47.1
1990	0.552	9064.34	128.7	250.2	211.9	11.4	37.5	47.0
1991	0.575	9057.66	129.6	253.5	295.5	9.3	50.9	46.2
1992	0.592	9379.75	157.9	256.9	282.3	12.3	53.2	52.3
1993	0.610	9637.25	116.4	260.3	337.3	13.5	66.0	46.3
1994	0.626	10026.34	107.9	263.5	215.4	13.0	84.3	50.7
1995	0.644	10299.03	103.3	266.6	185.4	14.9	67.0	50.7
1996	0.663	10689.95	144.1	269.7	248.3	11.8	74.4	47.3
1997	0.678	11169.64	145.3	273.0	169.5	13.2	47.1	55.5
1998	0.689	11666.63	99.5	276.2	249.0	13.8	37.6	61.1
1999	0.704	12213.22	124.4	279.3	242.3	15.4	69.6	62.5
2000	0.727	12713.05	137.5	282.4	276.1	15.7	36.3	55.0
2001	0.748	12837.05	115.6	285.2	425.2	16.8	50.3	64.7
2002	0.760	13066.42	123.1	288.0	425.1	17.4	49.9	61.6
2003	0.777	13433.14	133.2	290.6	672.8	17.5	54.4	63.8
2004	0.798	13941.67	135.4	293.3	704.0	20.0	77.4	58.5
2005	0.825	14408.00	141.2	296.0	866.7	20.1	55.9	60.1
2006	0.851	14792.23	185.0	298.8	947.2	22.4	35.6	63.2
2007	0.876	15055.31	187.3	301.7	1262.9	22.7	50.6	71.6
2008	0.909	15011.48	140.2	304.5	1395.6	27.8	167.0	75.8
2009	0.906	14594.75	108.1	307.2	1431.4	32.1	87.0	76.0
2010	0.921	14964.31	121.0	309.8	1998.2	34.0	82.4   	79.3
2011	0.949	15204.00	152.8	312.0	2295.9	35.3	61.3   	82.4
2012	0.970	15556.86	146.9	314.2	2820.8	38.0	60.4   	80.0
2013	0.984	15902.12	104.7	316.5	2679.3	43.3	84.1   	84.7
2014	1.000	16271.05	108.2	318.7	3661.3	46.4	208.6	93.8
