year	qtr	beef_q	pork_q	chick_q	turkey_q	beef_p	pork_p	chick_p	turkey_p	cpi
1975	1	22.0991	11.8074	9.2631	1.0724	134.8333	120.8	58.9	72.13	52.43
1975	2	21.0304	11.0085	10.1645	1.3916	152.6333	129.8	58.97	70.83	53.23
1975	3	22.2717	9.6583	10.2047	1.8937	163.2	157.4	68.93	73.87	54.37
1975	4	22.7502	10.4302	9.7381	3.9068	158.1667	161.8	66.3	78.27	55.23
1976	1	23.8753	10.939	10.3294	1.145	148.7	149.4	61.93	78.1	55.77
1976	2	22.8964	10.3597	10.9598	1.5151	148.2	146.3	60.7	77	56.47
1976	3	24.4652	11.0404	11.031	2.0091	142.8	145.1	60.9	76.87	57.37
1976	4	23.1085	13.1403	10.1654	4.2247	142.9333	126.6	55.13	78.23	58.03
1977	1	22.9976	11.9593	10.3395	1.2198	142.1667	127.2	58.27	76.07	59.03
1977	2	22.6131	11.4488	11.2841	1.3872	143.9333	128.8	60.8	74.1	60.33
1977	3	23.4054	11.2324	11.1785	2.109	146.5	138.6	61.9	76.83	61.2
1977	4	22.7401	12.3959	10.4996	4.0197	150.8	135.7	59.3	80.42	61.87
1978	1	22.0441	11.6947	10.8966	1.2211	160	144.9	61.4	74.53	62.93
1978	2	21.7602	11.4791	11.8033	1.589	182.5333	150.7	66.93	79.6	64.53
1978	3	21.6064	11.4611	11.6097	2.0336	186.2	153.1	70.5	84.37	66.07
1978	4	21.8814	12.3615	11.1396	3.88	186.4333	158.8	67.07	87.73	67.4
1979	1	20.5086	12.1608	11.4686	1.3533	211.7	165.1	69.6	90.33	69.07
1979	2	19.0408	13.1374	12.6605	1.7558	231.5	156.8	70.33	91.03	71.47
1979	3	19.1457	13.5239	12.582	2.1241	222.7	146	65.93	89.83	73.83
1979	4	19.3989	14.8575	11.6184	4.0155	223.8333	142.1	64.87	88.17	75.93
1980	1	18.947	14.5643	12.1178	1.7761	231.1667	141.7	67.57	92.77	78.93
1980	2	18.898	14.8637	12.6824	1.9508	227.5	132.5	63.53	90.2	81.83
1980	3	19.2127	13.5274	11.7869	2.5774	237.5333	152.6	75.07	93.63	83.33
1980	4	19.4988	14.3512	11.4689	3.9459	238.1667	163.2	77.27	98.17	85.53
1981	1	19.3429	14.0974	12.0277	1.6042	233.5	157.3	75.43	98.13	87.8
1981	2	18.9816	13.4164	12.6866	1.9006	230.7	153.1	71.9	98.47	89.83
1981	3	19.6459	13.0621	12.8079	2.4992	239.0333	166.6	74.9	101.83	92.37
1981	4	19.2868	14.0918	11.9454	4.5618	235.4333	167.9	70.47	92.97	93.7
1982	1	18.8193	12.7405	11.9425	1.7318	233.3	169.4	71.77	92.47	94.47
1982	2	18.7968	12.2607	12.834	2.0328	242.9667	179.2	72.13	91.3	95.9
1982	3	19.9882	11.5797	12.9951	2.5874	244.0333	195.7	72.33	95.47	97.7
1982	4	19.4242	12.5368	11.8858	4.2141	233.1333	198	69.2	92.9	97.93
1983	1	19.2252	12.114	12.4026	2.0296	233.8667	193.6	69.53	92.07	97.87
1983	2	19.3361	12.7472	13.129	2.1634	240.9333	181	68.73	92.57	99.1
1983	3	20.4952	12.8496	12.5883	2.4668	234.3667	175	74.43	92.7	100.27
1983	4	19.5995	14.0587	11.6903	4.3635	227.1667	169.1	77.17	91.33	101.17
1984	1	19.3191	12.8106	12.3375	1.9057	238.4667	170.9	85.13	94.33	102.3
1984	2	19.3744	12.6312	13.3105	2.155	238	168.7	82.4	97.2	103.4
1984	3	19.9738	12.3802	13.1955	2.5966	232.2	173.5	80.23	101.77	104.53
1984	4	19.7597	13.6804	12.6693	4.3788	233.2333	172.7	76.27	102.37	105.3
1985	1	19.0586	12.7537	12.7081	1.9896	234.9	175	77.13	107.23	105.97
1985	2	20.0757	12.855	13.7851	2.1634	230.4333	167.8	75.67	103.43	107.27
1985	3	20.8175	12.8035	13.5748	2.7299	222.7333	170.4	75.73	105.23	108.03
1985	4	19.2488	13.4707	13.0119	4.7012	226.4333	172.4	76.77	104.93	109
1986	1	19.0212	12.4462	13.0699	2.3152	229.2667	177.4	76.8	106.3	109.23
1986	2	20.1607	12.3281	14.1113	2.3758	222.9	173.2	77.2	103.3	109
1986	3	20.7108	11.5663	13.813	3.0149	225.6333	200.3	91.9	109	109.8
1986	4	18.9416	12.6462	13.2814	5.1658	229.3	204.1	88.1	107.7	110.4
1987	1	18.2746	12.2342	14.0183	2.5318	230.6	195.7	81.9	103.27	111.63
1987	2	18.5266	11.7023	14.5088	2.8807	239.1	194	78.17	102.77	113.1
1987	3	19.175	11.7285	14.5456	3.4995	242.1667	206.9	77.77	104.73	114.4
1987	4	17.8807	13.513	14.2982	5.8184	241.6667	200.7	76.1	93.97	115.37
1988	1	18.1678	12.8332	14.3959	3.035	241.7333	194.6	74.6	92.33	116.07
1988	2	18.4639	12.5507	14.7447	3.4076	250.1	195.5	80.8	91.73	117.53
1988	3	18.7622	12.9249	14.2711	3.7854	254.5333	196.7	95.77	98.7	119.1
1988	4	17.2552	14.1567	14.0575	5.4503	255	189.4	90.3	100.1	120.33
1989	1	16.9765	12.8213	14.3563	3.1189	260.7	190.5	90.57	97.27	121.67
1989	2	17.5192	13.0187	15.0116	3.2763	266.9667	188.9	95.83	99.9	123.67
1989	3	17.5975	12.6332	15.0852	4.1933	268.0333	194.6	95.33	103.57	124.67
1989	4	17.2416	13.5038	14.8018	6.0078	266.9333	199.8	89.07	96.8	125.87
1990	1	16.5516	12.5572	14.9451	3.5354	272.6333	207.6	90.2	98.87	128.03
1990	2	17.3763	11.8816	15.4012	3.6762	281.2	220.5	90.9	98.9	129.33
1990	3	17.4207	12.1079	15.5829	4.2115	280.3667	235.5	91.2	101.83	131.57
1990	4	16.4315	13.216	15.5973	6.1275	289.8667	236	87.37	97.57	133.7
1991	1	15.9842	12.2575	15.1466	3.6626	294.2667	227.6	89.6	99.47	134.8
1991	2	17.0449	12.0445	16.4942	3.9074	295.2	225.6	88.2	101.03	135.6
1991	3	17.5591	12.2515	16.5271	4.0353	284.6333	227	87.7	103.1	136.67
1991	4	16.2093	13.8041	15.8341	6.2823	279.2	216.4	86.63	95.67	137.7
