id	choice	smarttv1	smarttv2	smarttv3	s_screen1	s_screen2	s_screen3	threed1	threed2	threed3	s_price1	s_price2	s_price3
1	1	1	0	0	30	40	50	1	0	0	400	600	500
1	3	0	1	1	50	30	40	1	0	0	400	600	500
1	1	0	1	0	30	40	50	1	0	1	400	500	600
1	2	1	0	1	30	40	50	0	1	1	500	400	600
1	1	1	0	1	40	50	30	1	0	1	400	600	500
1	3	0	0	1	40	30	50	0	0	1	600	500	400
1	3	0	1	0	30	40	50	0	1	0	500	600	400
1	2	0	1	0	30	50	40	1	0	0	600	400	500
1	2	0	1	1	30	40	50	1	0	0	500	400	600
1	1	0	1	1	30	50	40	1	1	0	400	500	600
1	1	0	1	0	40	30	50	0	1	0	400	600	500
1	3	1	0	0	30	40	50	0	1	0	600	500	400
2	3	1	0	0	30	40	50	1	0	0	400	600	500
2	1	0	1	1	50	30	40	1	0	0	400	600	500
2	3	0	1	0	30	40	50	1	0	1	400	500	600
2	2	1	0	1	30	40	50	0	1	1	500	400	600
2	3	1	0	1	40	50	30	1	0	1	400	600	500
2	3	0	0	1	40	30	50	0	0	1	600	500	400
2	2	0	1	0	30	40	50	0	1	0	500	600	400
2	4	0	1	0	30	50	40	1	0	0	600	400	500
2	4	0	1	1	30	40	50	1	0	0	500	400	600
2	2	0	1	1	30	50	40	1	1	0	400	500	600
2	2	0	1	0	40	30	50	0	1	0	400	600	500
2	2	1	0	0	30	40	50	0	1	0	600	500	400
3	1	1	0	0	30	40	50	1	0	0	400	600	500
3	1	0	1	1	50	30	40	1	0	0	400	600	500
3	3	0	1	0	30	40	50	1	0	1	400	500	600
3	3	1	0	1	30	40	50	0	1	1	500	400	600
3	1	1	0	1	40	50	30	1	0	1	400	600	500
3	3	0	0	1	40	30	50	0	0	1	600	500	400
3	2	0	1	0	30	40	50	0	1	0	500	600	400
3	1	0	1	0	30	50	40	1	0	0	600	400	500
3	1	0	1	1	30	40	50	1	0	0	500	400	600
3	2	0	1	1	30	50	40	1	1	0	400	500	600
3	2	0	1	0	40	30	50	0	1	0	400	600	500
3	2	1	0	0	30	40	50	0	1	0	600	500	400
4	3	1	0	0	30	40	50	1	0	0	400	600	500
4	1	0	1	1	50	30	40	1	0	0	400	600	500
4	3	0	1	0	30	40	50	1	0	1	400	500	600
4	3	1	0	1	30	40	50	0	1	1	500	400	600
4	2	1	0	1	40	50	30	1	0	1	400	600	500
4	3	0	0	1	40	30	50	0	0	1	600	500	400
4	3	0	1	0	30	40	50	0	1	0	500	600	400
4	2	0	1	0	30	50	40	1	0	0	600	400	500
4	3	0	1	1	30	40	50	1	0	0	500	400	600
4	2	0	1	1	30	50	40	1	1	0	400	500	600
4	3	0	1	0	40	30	50	0	1	0	400	600	500
4	3	1	0	0	30	40	50	0	1	0	600	500	400
5	3	1	0	0	30	40	50	1	0	0	400	600	500
5	1	0	1	1	50	30	40	1	0	0	400	600	500
5	4	0	1	0	30	40	50	1	0	1	400	500	600
5	2	1	0	1	30	40	50	0	1	1	500	400	600
5	1	1	0	1	40	50	30	1	0	1	400	600	500
5	3	0	0	1	40	30	50	0	0	1	600	500	400
5	3	0	1	0	30	40	50	0	1	0	500	600	400
5	2	0	1	0	30	50	40	1	0	0	600	400	500
