gender,like,attractive,sincere,intelligent,fun,ambitious,sharedinterests
M,6,6,8,8,8,7,6
M,8,7,9,10,6,6,5
M,10,10,10,10,10,10,10
M,9,9,9,9,9,9,9
M,7,7,9,8,9,7,7
M,2,3,6,7,5,8,7
M,7,6,7,8,6,6,5
M,8,8,7,8,10,8,10
M,5,5,6,8,5,8,6
M,3,5,6,6,5,7,3
M,4,4,6,7,3,6,4
M,6,6,7,6,6,8,5
M,7,7,8,7,6,6,6
M,8,8,9,8,7,10,7
M,6,6,6,6,5,6,4
M,6,6,8,7,7,9,4
M,6,8,8,7,6,7,6
M,7,6,8,8,8,8,5
M,6,5,8,5,3,3,3
M,7,8,8,8,6,7,5
M,8,9,9,9,9,8,8
M,7,8,9,9,9,7,5
M,6,5,8,10,7,9,5
M,10,10,10,10,10,10,10
M,5,5,7,6,4,4,6
M,1,4,7,4,2,3,1
M,7,5,7,9,7,5,4
M,9,6,9,8,6,8,6
M,6,7,8,7,5,7,5
M,6,6,8,7,7,6,5
M,5,6,8,8,7,7,5
M,6,6,6,7,5,6,5
M,8,7,7,8,8,6,9
M,5,5,7,6,6,6,4
M,6,7,7,8,7,8,7
M,5,6,8,8,6,5,0
M,6,6,8,8,8,6,4
M,9,9,8,8,9,7,8
M,4,5,6,7,2,7,3
M,7,6,8,9,7,7,7
M,8,6,9,8,6,7,4
M,8,8,8,10,9,7,7
M,8,9,10,9,8,7,6.5
M,7,8,9,7,8,5,4
M,7,7,10,8,8,8,3
M,4,5,7,7,5,5,5
M,10,10,10,10,10,10,10
M,5,6,4,5,6,7,7
M,7,8,7,6,5,5,5
M,5,5,8,8,6,7,5
M,7,7,7,7,7,5,5
M,9,10,9,8,9,9,7
M,7,7,8,10,6,5,6
M,9,9,6,8,6,6,6
M,7,6,10,10,6,7,5
M,1,4,6,6,1,7,1
M,7,8,7,7,7,7,8
M,9,10,8,8,7,7,5
M,8,8,9,9,8,8,5
M,6,8,10,9,8,8,7
M,5,7,9,10,8,8,4
M,6,5,6,7,7,6,5
M,8,8,10,8,8,8,6
M,10,9,10,10,8,8,8
M,7,8,9,10,5,9,5
M,3,3,7,6,4,5,2
M,9,8,8,8,8,8,8
M,8,9,8,8,8,8,8
